movieId,title,genres,avg_rating,rating_count,tmdbId,all_tags,content_text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209302325581397,215.0,862.0,pixar fun,adventureanimationchildrencomedyfantasy toy story pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,3.4318181818181817,110.0,8844.0,fantasy magic board game robin williams game,adventurechildrenfantasy jumanji fantasy magic board game robin williams game
3,Grumpier Old Men (1995),Comedy|Romance,3.2596153846153846,52.0,15602.0,moldy old,comedyromance grumpier old men moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.357142857142857,7.0,31357.0,,comedydramaromance waiting to exhale
5,Father of the Bride Part II (1995),Comedy,3.0714285714285716,49.0,11862.0,pregnancy remake,comedy father of the bride part ii pregnancy remake
6,Heat (1995),Action|Crime|Thriller,3.946078431372549,102.0,949.0,,actioncrimethriller heat
7,Sabrina (1995),Comedy|Romance,3.185185185185185,54.0,11860.0,remake,comedyromance sabrina remake
8,Tom and Huck (1995),Adventure|Children,2.875,8.0,45325.0,,adventurechildren tom and huck
9,Sudden Death (1995),Action,3.125,16.0,9091.0,,action sudden death
10,GoldenEye (1995),Action|Adventure|Thriller,3.496212121212121,132.0,710.0,,actionadventurethriller goldeneye
11,"American President, The (1995)",Comedy|Drama|Romance,3.6714285714285713,70.0,9087.0,politics president,"comedydramaromance american president, the politics president"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.4210526315789473,19.0,12110.0,,comedyhorror dracula: dead and loving it
13,Balto (1995),Adventure|Animation|Children,3.125,8.0,21032.0,,adventureanimationchildren balto
14,Nixon (1995),Drama,3.8333333333333335,18.0,10858.0,politics president,drama nixon politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,3.0,13.0,1408.0,,actionadventureromance cutthroat island
16,Casino (1995),Crime|Drama,3.926829268292683,82.0,524.0,mafia,crimedrama casino mafia
17,Sense and Sensibility (1995),Drama|Romance,3.7761194029850746,67.0,4584.0,jane austen,dramaromance sense and sensibility jane austen
18,Four Rooms (1995),Comedy,3.7,20.0,5.0,,comedy four rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,2.727272727272727,88.0,9273.0,,comedy ace ventura: when nature calls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5,15.0,11517.0,,actioncomedycrimedramathriller money train
21,Get Shorty (1995),Comedy|Crime|Thriller,3.49438202247191,89.0,8012.0,hollywood,comedycrimethriller get shorty hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222222222222223,36.0,1710.0,serial killer,crimedramahorrormysterythriller copycat serial killer
23,Assassins (1995),Action|Crime|Thriller,3.125,16.0,9691.0,,actioncrimethriller assassins
24,Powder (1995),Drama|Sci-Fi,3.125,28.0,12665.0,,dramasci-fi powder
25,Leaving Las Vegas (1995),Drama|Romance,3.625,76.0,451.0,alcoholism,dramaromance leaving las vegas alcoholism
26,Othello (1995),Drama,3.5,13.0,16420.0,shakespeare,drama othello shakespeare
27,Now and Then (1995),Children|Drama,3.3333333333333335,9.0,9263.0,,childrendrama now and then
28,Persuasion (1995),Drama|Romance,4.2272727272727275,11.0,17015.0,in netflix queue jane austen,dramaromance persuasion in netflix queue jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0131578947368425,38.0,902.0,kidnapping,"adventuredramafantasymysterysci-fi city of lost children, the (cité des enfants perdus, la) kidnapping"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.0,3.0,37557.0,,crimedrama shanghai triad (yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),Drama,3.1842105263157894,38.0,9909.0,high school teacher,drama dangerous minds high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.983050847457627,177.0,63.0,time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake twist ending,mysterysci-fithriller twelve monkeys (a.k.a. 12 monkeys) time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake twist ending
34,Babe (1995),Children|Drama,3.65234375,128.0,9598.0,animal movie pigs villain nonexistent or not needed for good story,childrendrama babe animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,3.8358208955223883,67.0,687.0,death penalty nun,crimedrama dead man walking death penalty nun
38,It Takes Two (1995),Children|Comedy,2.125,4.0,33689.0,twins,childrencomedy it takes two twins
39,Clueless (1995),Comedy|Romance,3.293269230769231,104.0,9603.0,chick flick funny paul rudd quotable seen more than once emma jane austen,comedyromance clueless chick flick funny paul rudd quotable seen more than once emma jane austen
40,"Cry, the Beloved Country (1995)",Drama,4.25,2.0,34615.0,in netflix queue south africa,"drama cry, the beloved country in netflix queue south africa"
41,Richard III (1995),Drama|War,3.7,15.0,31174.0,shakespeare,dramawar richard iii shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,3.0,7.0,11443.0,,actioncrimedrama dead presidents
43,Restoration (1995),Drama,3.1875,8.0,35196.0,england,drama restoration england
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.5434782608695654,46.0,9312.0,,actionadventurefantasy mortal kombat
45,To Die For (1995),Comedy|Drama|Thriller,3.3125,32.0,577.0,journalism,comedydramathriller to die for journalism
46,How to Make an American Quilt (1995),Drama|Romance,3.066666666666667,15.0,11861.0,wedding,dramaromance how to make an american quilt wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3.9753694581280787,203.0,807.0,mystery twist ending serial killer,mysterythriller seven (a.k.a. se7en) mystery twist ending serial killer
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.1470588235294117,68.0,10530.0,,animationchildrendramamusicalromance pocahontas
49,When Night Is Falling (1995),Drama|Romance,3.0,1.0,8391.0,,dramaromance when night is falling
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.237745098039215,204.0,629.0,mindfuck suspense thriller tricky twist ending heist,"crimemysterythriller usual suspects, the mindfuck suspense thriller tricky twist ending heist"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.4642857142857144,28.0,11448.0,adoption prostitution,comedydramaromance mighty aphrodite adoption prostitution
53,Lamerica (1994),Adventure|Drama,5.0,2.0,49133.0,,adventuredrama lamerica
54,"Big Green, The (1995)",Children|Comedy,2.3333333333333335,3.0,26441.0,,"childrencomedy big green, the"
55,Georgia (1995),Drama,4.0,1.0,97406.0,,drama georgia
57,Home for the Holidays (1995),Drama,3.0625,8.0,9089.0,,drama home for the holidays
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.027027027027027,37.0,11010.0,writing,"comedydramaromance postman, the (postino, il) writing"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.235294117647059,34.0,11359.0,,"adventurechildrenfantasy indian in the cupboard, the"
61,Eye for an Eye (1996),Drama|Thriller,3.75,6.0,17182.0,,dramathriller eye for an eye
62,Mr. Holland's Opus (1995),Drama,3.70625,80.0,2054.0,music,drama mr. holland's opus music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.7142857142857144,7.0,10607.0,,comedycrime don't be a menace to south central while drinking your juice in the hood
64,Two if by Sea (1996),Comedy|Romance,2.2,5.0,19760.0,,comedyromance two if by sea
65,Bio-Dome (1996),Comedy,2.532258064516129,31.0,9536.0,,comedy bio-dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.5,9.0,11525.0,,actionsci-fithriller lawnmower man 2: beyond cyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.4,5.0,4482.0,,comedyromance french twist (gazon maudit)
69,Friday (1995),Comedy,3.775,20.0,10634.0,,comedy friday
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.5090909090909093,55.0,755.0,,actioncomedyhorrorthriller from dusk till dawn
71,Fair Game (1995),Action,1.7,5.0,11859.0,,action fair game
72,Kicking and Screaming (1995),Comedy|Drama,3.2142857142857144,7.0,28387.0,,comedydrama kicking and screaming
73,"Misérables, Les (1995)",Drama|War,3.4615384615384617,13.0,48750.0,,"dramawar misérables, les"
74,Bed of Roses (1996),Drama|Romance,4.0,8.0,20927.0,,dramaromance bed of roses
75,Big Bully (1996),Comedy|Drama,2.2,5.0,36929.0,,comedydrama big bully
76,Screamers (1995),Action|Sci-Fi|Thriller,3.4,15.0,9102.0,,actionsci-fithriller screamers
77,Nico Icon (1995),Documentary,4.0,1.0,124626.0,,documentary nico icon
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.3333333333333335,3.0,27526.0,,"actioncrimedramathriller crossing guard, the"
79,"Juror, The (1996)",Drama|Thriller,2.764705882352941,17.0,9623.0,,"dramathriller juror, the"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,4.0,2.0,46785.0,,"childrendrama white balloon, the (badkonake sefid)"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.107142857142857,14.0,400.0,,crimedramaromance things to do in denver when you're dead
82,Antonia's Line (Antonia) (1995),Comedy|Drama,3.875,8.0,880.0,,comedydrama antonia's line (antonia)
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.0,1.0,146599.0,,dramaromance once upon a time... when we were colored
85,Angels and Insects (1995),Drama|Romance,3.857142857142857,7.0,8447.0,,dramaromance angels and insects
86,White Squall (1996),Action|Adventure|Drama,3.966666666666667,15.0,10534.0,,actionadventuredrama white squall
87,Dunston Checks In (1996),Children|Comedy,2.5,7.0,17414.0,,childrencomedy dunston checks in
88,Black Sheep (1996),Comedy,3.15625,16.0,13997.0,,comedy black sheep
89,Nick of Time (1995),Action|Thriller,3.25,10.0,2086.0,,actionthriller nick of time
